locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sample_Maccabi_Ecoli_SeqPlate10_A12_00001	CDS	333				IS110 family transposase IS621
Sample_Maccabi_Ecoli_SeqPlate10_A12_00002	CDS	177				IS110 family transposase IS621
Sample_Maccabi_Ecoli_SeqPlate10_A12_00003	CDS	1299	kgtP_1			Alpha-ketoglutarate permease
Sample_Maccabi_Ecoli_SeqPlate10_A12_00004	CDS	273				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00005	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00006	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00007	CDS	699				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00008	CDS	420				Thioredoxin domain-containing protein R362
Sample_Maccabi_Ecoli_SeqPlate10_A12_00009	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
Sample_Maccabi_Ecoli_SeqPlate10_A12_00010	CDS	690	UNG	3.2.2.27		Uracil-DNA glycosylase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00011	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
Sample_Maccabi_Ecoli_SeqPlate10_A12_00012	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00013	CDS	882	cmpR			HTH-type transcriptional activator CmpR
Sample_Maccabi_Ecoli_SeqPlate10_A12_00014	CDS	1335		3.6.4.13		Putative ATP-dependent RNA helicase L540
Sample_Maccabi_Ecoli_SeqPlate10_A12_00015	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00016	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00017	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
Sample_Maccabi_Ecoli_SeqPlate10_A12_00018	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00019	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
Sample_Maccabi_Ecoli_SeqPlate10_A12_00020	CDS	480	rseC		COG3086	Protein RseC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00021	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
Sample_Maccabi_Ecoli_SeqPlate10_A12_00022	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
Sample_Maccabi_Ecoli_SeqPlate10_A12_00023	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
Sample_Maccabi_Ecoli_SeqPlate10_A12_00024	CDS	906	era_1		COG1159	GTPase Era
Sample_Maccabi_Ecoli_SeqPlate10_A12_00025	CDS	729	recO		COG1381	DNA repair protein RecO
Sample_Maccabi_Ecoli_SeqPlate10_A12_00026	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00027	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00028	CDS	261	yfhL		COG1145	Ferredoxin YfhL
Sample_Maccabi_Ecoli_SeqPlate10_A12_00029	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
Sample_Maccabi_Ecoli_SeqPlate10_A12_00030	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
Sample_Maccabi_Ecoli_SeqPlate10_A12_00031	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00032	CDS	1557	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
Sample_Maccabi_Ecoli_SeqPlate10_A12_00033	CDS	3888	BNRF1			Major tegument protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00034	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
Sample_Maccabi_Ecoli_SeqPlate10_A12_00035	CDS	714	qseG			Quorum-sensing regulator protein G
Sample_Maccabi_Ecoli_SeqPlate10_A12_00036	CDS	1335	qseF_1		COG2204	Transcriptional regulatory protein QseF
Sample_Maccabi_Ecoli_SeqPlate10_A12_00037	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
Sample_Maccabi_Ecoli_SeqPlate10_A12_00038	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00039	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00040	CDS	1194	mlc_1		COG1940	Protein mlc
Sample_Maccabi_Ecoli_SeqPlate10_A12_00041	CDS	3282	lapB_1			Lipopolysaccharide assembly protein B
Sample_Maccabi_Ecoli_SeqPlate10_A12_00042	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
Sample_Maccabi_Ecoli_SeqPlate10_A12_00043	CDS	1512	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00044	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00045	CDS	1062		1.-.-.-		putative zinc-type alcohol dehydrogenase-like protein L498
Sample_Maccabi_Ecoli_SeqPlate10_A12_00046	CDS	873	yphB_1		COG2017	putative protein YphB
Sample_Maccabi_Ecoli_SeqPlate10_A12_00047	CDS	423	yphA		COG2259	Inner membrane protein YphA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00048	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
Sample_Maccabi_Ecoli_SeqPlate10_A12_00049	CDS	1170	manR_1		COG1762	Transcriptional regulator ManR
Sample_Maccabi_Ecoli_SeqPlate10_A12_00050	CDS	855			COG1073	putative protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00051	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00052	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00053	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
Sample_Maccabi_Ecoli_SeqPlate10_A12_00054	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
Sample_Maccabi_Ecoli_SeqPlate10_A12_00055	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
Sample_Maccabi_Ecoli_SeqPlate10_A12_00056	CDS	324	iscA		COG0316	Iron-binding protein IscA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00057	CDS	516	hscB		COG1076	Co-chaperone protein HscB
Sample_Maccabi_Ecoli_SeqPlate10_A12_00058	CDS	1851	ORF3_1			Movement protein Hsp70h
Sample_Maccabi_Ecoli_SeqPlate10_A12_00059	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
Sample_Maccabi_Ecoli_SeqPlate10_A12_00060	CDS	201	iscX		COG2975	Protein IscX
Sample_Maccabi_Ecoli_SeqPlate10_A12_00061	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
Sample_Maccabi_Ecoli_SeqPlate10_A12_00062	CDS	777				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00063	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00064	CDS	4962	yfhM		COG2373	Alpha-2-macroglobulin
Sample_Maccabi_Ecoli_SeqPlate10_A12_00065	CDS	2277	pbpC		COG4953	Penicillin-binding protein 1C
Sample_Maccabi_Ecoli_SeqPlate10_A12_00066	CDS	432	NDK	2.7.4.6		Nucleoside diphosphate kinase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00067	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
Sample_Maccabi_Ecoli_SeqPlate10_A12_00068	CDS	1008	rodZ		COG1426	Cytoskeleton protein RodZ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00069	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
Sample_Maccabi_Ecoli_SeqPlate10_A12_00070	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00071	CDS	621				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00072	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
Sample_Maccabi_Ecoli_SeqPlate10_A12_00073	CDS	1473	der		COG1160	GTPase Der
Sample_Maccabi_Ecoli_SeqPlate10_A12_00074	CDS	216	yfgJ			putative protein YfgJ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00075	CDS	2178				Invasin
Sample_Maccabi_Ecoli_SeqPlate10_A12_00076	CDS	978				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00077	CDS	8052				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00078	CDS	1359	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
Sample_Maccabi_Ecoli_SeqPlate10_A12_00079	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00080	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
Sample_Maccabi_Ecoli_SeqPlate10_A12_00081	CDS	540				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00082	CDS	516				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00083	CDS	174	yfgG			Protein YfgG
Sample_Maccabi_Ecoli_SeqPlate10_A12_00084	CDS	153				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00085	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
Sample_Maccabi_Ecoli_SeqPlate10_A12_00086	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00087	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00088	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00089	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00090	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00091	CDS	1290	uraA		COG2233	Uracil permease
Sample_Maccabi_Ecoli_SeqPlate10_A12_00092	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
Sample_Maccabi_Ecoli_SeqPlate10_A12_00093	CDS	360	yfgD		COG1393	putative protein YfgD
Sample_Maccabi_Ecoli_SeqPlate10_A12_00094	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
Sample_Maccabi_Ecoli_SeqPlate10_A12_00095	CDS	1062	yhhT_1		COG0628	Putative transport protein YhhT
Sample_Maccabi_Ecoli_SeqPlate10_A12_00096	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
Sample_Maccabi_Ecoli_SeqPlate10_A12_00097	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
Sample_Maccabi_Ecoli_SeqPlate10_A12_00098	CDS	879	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00099	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
Sample_Maccabi_Ecoli_SeqPlate10_A12_00100	CDS	231				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00101	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00102	CDS	864			COG2321	putative protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00103	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00104	CDS	699				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00105	CDS	201				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00106	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00107	CDS	357	yffB		COG1393	Protein YffB
Sample_Maccabi_Ecoli_SeqPlate10_A12_00108	CDS	3114	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
Sample_Maccabi_Ecoli_SeqPlate10_A12_00109	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00110	CDS	1980	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
Sample_Maccabi_Ecoli_SeqPlate10_A12_00111	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
Sample_Maccabi_Ecoli_SeqPlate10_A12_00112	CDS	999				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00113	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
Sample_Maccabi_Ecoli_SeqPlate10_A12_00114	CDS	951	tal	2.2.1.2		Transaldolase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00115	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
Sample_Maccabi_Ecoli_SeqPlate10_A12_00116	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
Sample_Maccabi_Ecoli_SeqPlate10_A12_00117	CDS	480	pduV		COG4917	Propanediol utilization protein PduV
Sample_Maccabi_Ecoli_SeqPlate10_A12_00118	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00119	CDS	804				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00120	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
Sample_Maccabi_Ecoli_SeqPlate10_A12_00121	CDS	336	eutM		COG4577	Ethanolamine utilization protein EutM
Sample_Maccabi_Ecoli_SeqPlate10_A12_00122	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
Sample_Maccabi_Ecoli_SeqPlate10_A12_00123	CDS	1404	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00124	CDS	837	ftsA_1		COG0849	Cell division protein FtsA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00125	CDS	1188	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00126	CDS	1227				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00127	CDS	1404				hypothetical protein
Sample_Maccabi_Ecoli_SeqPlate10_A12_00128	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
Sample_Maccabi_Ecoli_SeqPlate10_A12_00129	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
Sample_Maccabi_Ecoli_SeqPlate10_A12_00130	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
Sample_Maccabi_Ecoli_SeqPlate10_A12_00131	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
Sample_Maccabi_Ecoli_SeqPlate10_A12_00132	CDS	1053	rhaS_1			HTH-type transcriptional activator RhaS
Sample_Maccabi_Ecoli_SeqPlate10_A12_00133	CDS	903	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
Sample_Maccabi_Ecoli_SeqPlate10_A12_00134	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00135	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
Sample_Maccabi_Ecoli_SeqPlate10_A12_00136	CDS	450	yfeZ			Inner membrane protein YfeZ
Sample_Maccabi_Ecoli_SeqPlate10_A12_00137	CDS	576	yfeY			putative protein YfeY
